"OBJECTID","WELLWIDTH","WELLLENGTH","PAREAWIDTH","LOWWELL","SPECIES","ADDRNUM","STNAME"
8587,"0","0","5","None","Platanus acerifolia",978,"88TH AV"
8588,"0","0","3","None","Sophora japonica",2239,"AUSEON AV"
8589,"2","3","0","Moderate","Pyrus calleryana cvs",2421,"76TH AV"
8590,"0","0","4","None","Crataegus phaenopyrum",3500,"MIRASOL AV"
8591,"0","0","6","None","Platanus acerifolia",2326,"83RD AV"
8592,"3","3","0","None","Pyrus calleryana cvs",7641,"MACARTHUR BL"
8593,"0","0","6","None","Ligustrum lucidum",1700,"85TH AV"
8594,"2","6","0","Low","Tristaniopsis laurina",2539,"84TH AV"
8595,"0","0","6","None","Liquidambar styraciflua",2055,"81ST AV"
8596,"0","0","2.5","None","Shrub",3745,"COLUMBIAN DR"
8597,"0","0","3","None","Platanus acerifolia",1474,"78TH AV"
8598,"0","0","6","None","Pyrus kawakami",1975,"85TH AV"
8599,"0","0","4","None","Magnolia grandiflora",1908,"81ST AV"
8600,"1","2","0","Low","Melaleuca stypheloides",7506,"ARTHUR ST"
8601,"2.5","3","0","Low","Prunus cerasifera/blireiana",7806,"PLYMOUTH ST"
8602,"0","0","6","None","Pittosporum undulatum",1629,"84TH AV"
8603,"0","0","6","None","Sapium sebiferum",1773,"84TH AV"
8604,"2","2","0","None","Melaleuca sp",7616,"ARTHUR ST"
8605,"0","0","6","None","Prunus sp",2041,"84TH AV"
8606,"0","0","0","None","Lophostemon confertus",2130,"90TH AV"
8607,"0","0","3","None","Liquidambar styraciflua",2751,"77TH AV"
8608,"0","0","2","None","Unknown",8207,"OUTLOOK AV"
8609,"0","0","12","None","Fraxinus v. `Modesto'",0,"BANCROFT AV"
8610,"0","0","12","None","Syzygium paniculatum",2071,"87TH AV"
8611,"2","3","0","Low","Fraxinus o. `Raywood'",8519,"MACARTHUR BL"
8612,"3","3","0","None","Pyrus kawakami",7711,"MACARTHUR BL"
8613,"0","0","3","None","Ficus benjamina",2672,"78TH AV"
8614,"0","0","2.5","None","Robinia hybrid",7848,"ARTHUR ST"
8615,"0","0","6","None","Quercus suber",8401,"BIRCH ST"
8616,"0","0","6","None","Pyrus kawakami",1962,"85TH AV"
8617,"0","0","7","None","Acacia melanoxylon",1211,"83RD AV"
8618,"0","0","3","None","Ceratonia siliqua",1612,"80TH AV"
8619,"0","0","2.5","None","Prunus cerasifera/blireiana",7325,"CIRCLE HILL DR"
8620,"4","6","0","Low","Sophora japonica",1923,"82ND AV"
8621,"0","0","6","None","Pittosporum undulatum",1660,"84TH AV"
8622,"3","4","0","High","Platanus acerifolia",9600,"SUNNYSIDE ST"
8623,"3","4","0","Moderate","Platanus acerifolia",9600,"SUNNYSIDE ST"
8624,"0","0","2","None","Pyrus calleryana cvs",7627,"HOLLY ST"
8625,"0","0","3","None","Albizia julibrissin",1215,"78TH AV"
8626,"2.5","3","0","Low","Pyrus calleryana cvs",1454,"AUSEON AV"
8627,"0","0","4","None","Sophora japonica",8130,"BIRCH ST"
8628,"2.5","3","0","None","Prunus cerasifera/blireiana",7856,"PLYMOUTH ST"
8629,"0","0","5.50","None","Pyrus kawakami",1252,"87TH AV"
8630,"0","0","6","None","Pittosporum undulatum",1638,"84TH AV"
8631,"4","8","0","Moderate","Laurus nobilis `Saratoga'",7862,"WELD ST"
8632,"0","0","5.5","None","Lagerstroemia indica",9624,"CHERRY ST"
8633,"0","0","5.5","None","Lagerstroemia indica",9624,"CHERRY ST"
8634,"0","0","6","None","Platanus acerifolia",2005,"90TH AV"
8635,"0","0","5","None","Unknown",7951,"HILLSIDE ST"
8636,"0","0","5","None","Liquidambar styraciflua",1008,"90TH AV"
8637,"2","4","0","Low","Magnolia grandiflora",2212,"DASHWOOD AV"
8638,"0","0","3","None","Sophora japonica",8208,"PLYMOUTH ST"
8639,"4","4","0","Low","Eucalyptus nicholii",1135,"83RD AV"
8640,"3","3","0","None","Prunus sp",8114,"HILLSIDE ST"
8641,"0","0","2","None","Prunus cerasifera/blireiana",8100,"IRIS ST"
8642,"6","5","0","Low","Pyrus calleryana cvs",0,"79TH AV"
8643,"0","0","3","None","Photinia serrulata",7800,"PLYMOUTH ST"
8644,"0","0","6","None","Unknown",1648,"86TH AV"
8645,"4","4","0","None","Platanus acerifolia",1448,"89TH AV"
8646,"0","0","8","None","Schinus terebinthefolia",1272,"82ND AV"
8647,"0","0","3","None","Magnolia grandiflora",1427,"88TH AV"
8648,"0","0","5","None","Koelreuteria sp",8225,"OLIVE ST"
8649,"3","3","0","None","Pyrus kawakami",7735,"MACARTHUR BL"
8650,"2.5","3","0","Moderate","Pyrus calleryana cvs",1430,"AUSEON AV"
8651,"0","0","4","None","Liquidambar styraciflua",2504,"78TH AV"
8652,"0","0","4","None","Liquidambar styraciflua",2504,"78TH AV"
8653,"0","0","4","None","Eucalyptus nicholii",1131,"83RD AV"
8654,"0","0","6","None","Celtis sp",1322,"81ST AV"
8655,"0","0","5","None","Magnolia grandiflora",2007,"81ST AV"
8656,"2","3","0","Moderate","Platanus acerifolia",8416,"EAST 14TH ST"
8657,"0","0","7","None","Schinus molle",2033,"90TH AV"
8658,"0","0","5","None","Pyrus kawakami",2051,"83RD AV"
8659,"0","0","6","None","Platanus acerifolia",1905,"90TH AV"
8660,"0","0","5","None","Platanus acerifolia",1905,"90TH AV"
8661,"0","0","5","None","Prunus cerasifera/blireiana",2030,"83RD AV"
8662,"2","3","0","None","Prunus cerasifera/blireiana",0,"73RD AV"
8663,"0","0","4","None","Cinnamomum camphora",2207,"81ST AV"
8664,"0","0","3","None","Sophora japonica",2311,"82ND AV"
8665,"3","5","0","None","Laurus nobilis `Saratoga'",1938,"88TH AV"
8666,"0","0","8","None","Pyrus calleryana cvs",1254,"82ND AV"
8667,"0","0","6.5","None","Callistemon sp",8422,"B ST"
8668,"0","0","3","None","Sophora japonica",2036,"82ND AV"
8669,"0","0","4","None","Podocarpus gracilior",2063,"AUSEON AV"
8670,"0","0","3","None","Ceratonia siliqua",1636,"80TH AV"
8671,"0","0","3","None","Lagerstroemia indica",1925,"88TH AV"
8672,"0","0","3","None","Juniperus sp",7839,"ASH ST"
8673,"0","0","6","None","Laurus nobilis",2032,"86TH AV"
8674,"0","0","6","None","Pyrus kawakami",1945,"85TH AV"
8675,"0","0","3","None","Prunus cerasifera/blireiana",2950,"75TH AV"
8676,"0","0","3","None","Nerium oleander",1681,"78TH AV"
8677,"0","0","3","None","Magnolia grandiflora",0,"OUTLOOK AV"
8678,"0","0","6","None","Platanus acerifolia",1425,"85TH AV"
8679,"0","0","0","None","Magnolia grandiflora",1445,"87TH AV"
8680,"0","0","3","None","Sophora japonica",2247,"AUSEON AV"
8681,"2","2","0","Low","Fraxinus o. `Raywood'",8300,"MACARTHUR BL"
8682,"0","0","4","None","Dead",3416,"MIRASOL AV"
8683,"0","0","7","None","Liquidambar styraciflua",2456,"89TH AV"
8684,"3","3","0","Moderate","Photinia serrulata",7800,"PLYMOUTH ST"
8685,"0","0","6","None","Pyrus kawakami",1918,"85TH AV"
8686,"0","0","2.5","None","Dead",7850,"LOCKWOOD ST"
8687,"0","0","4","None","Fraxinus o. `Raywood'",8311,"MACARTHUR BL"
8688,"0","0","3","None","Liquidambar styraciflua",1660,"87TH AV"
8689,"2","3","0","High","Platanus acerifolia",8200,"EAST 14TH ST"
8690,"0","0","5","None","Pyrus kawakami",1902,"83RD AV"
8691,"0","0","5","None","Magnolia grandiflora",1062,"80TH AV"
8692,"0","0","3","None","Betula pendula",7653,"OUTLOOK AV"
8693,"2.5","2.5","0","High","Prunus cerasifera/blireiana",7349,"CIRCLE HILL DR"
8694,"0","0","4","None","Prunus cerasifera/blireiana",2258,"AUSEON AV"
8695,"0","0","2.5","None","Cupressus sempervirens",7826,"WELD ST"
8696,"0","0","3","None","Lagerstroemia indica",1607,"87TH AV"
8697,"2","2","0","Low","Melaleuca linarifolia",7424,"ARTHUR ST"
8698,"2","3","0","Low","Platanus acerifolia",8135,"EAST 14TH ST"
8699,"0","0","3","None","Liquidambar styraciflua",1654,"87TH AV"
8700,"0","0","3","None","Pyrus calleryana cvs",2028,"87TH AV"
8701,"0","0","5","None","Pyrus kawakami",2069,"83RD AV"
8702,"2.5","3","0","High","Pyrus calleryana cvs",1627,"AUSEON AV"
8703,"0","0","3","None","Ceratonia siliqua",1600,"80TH AV"
8704,"3","3","0","None","Liquidambar styraciflua",2727,"77TH AV"
8705,"0","0","5","None","Cupressus sempervirens",1601,"83RD AV"
8706,"0","0","6","None","Liquidambar styraciflua",2445,"89TH AV"
8707,"2","2","0","Low","Melaleuca sp",7527,"ARTHUR ST"
8708,"0","0","4","None","Platanus acerifolia",1001,"81ST AV"
8709,"0","0","4","None","Jacaranda acutifolia",2314,"AUSEON AV"
8710,"0","0","6","None","Quercus agrifolia",8331,"DOWLING ST"
8711,"0","0","5","None","Pyrus calleryana cvs",1644,"83RD AV"
8712,"4","6","0","Low","Pyrus calleryana cvs",7344,"HOLLY ST"
8713,"0","0","4","None","Calocedrus decurrens",1939,"AUSEON AV"
8714,"1","1","0","Moderate","Acer palmatum",1635,"86TH AV"
8715,"0","0","3","None","Magnolia grandiflora",1729,"78TH AV"
8716,"0","0","6","None","Cinnamomum camphora",1729,"86TH AV"
8717,"0","0","6","None","Koelreuteria sp",7523,"HILLSIDE ST"
8718,"2","4","0","Low","Lagerstroemia indica",8915,"HILLSIDE ST"
8719,"0","0","4","None","Liquidambar styraciflua",2515,"74TH AV"
8720,"0","0","4","None","Albizia julibrissin",2344,"88TH AV"
8721,"0","0","3","None","Liquidambar styraciflua",7201,"SUNKIST DR"
8722,"2","4","0","Low","Pyrus kawakami",7320,"MACARTHUR BL"
8723,"0","0","6","None","Podocarpus gracilior",2717,"75TH AV"
8724,"0","0","5","None","Platanus acerifolia",2709,"RITCHIE ST"
8725,"0","0","3","None","Prunus cerasifera/blireiana",7541,"VALENTINE ST"
8726,"0","0","2","None","Cercis sp",2975,"EL MONTE AV"
8727,"0","0","5","None","Pyrus kawakami",2643,"79TH AV"
8728,"0","0","2","None","Pyrus kawakami",2951,"76TH AV"
8729,"0","0","3","None","Liquidambar styraciflua",7531,"GREENLY DR"
8730,"0","0","5","None","Podocarpus gracilior",2537,"RITCHIE ST"
8731,"2","3","0","Low","Fraxinus o. `Raywood'",8519,"MACARTHUR BL"
8732,"2","2","0","Low","Fraxinus o. `Raywood'",8132,"MACARTHUR BL"
8733,"0","0","4","None","Crataegus phaenopyrum",3400,"MIRASOL AV"
8734,"3","6","0","None","Pyrus kawakami",9500,"STEARNS AV"
8735,"2","2","0","Moderate","Fraxinus o. `Raywood'",8110,"MACARTHUR BL"
8736,"0","0","10","None","Dead",2409,"90TH AV"
8737,"3","4","0","Low","Pyrus calleryana cvs",7800,"MACARTHUR BL"
8738,"0","0","2","None","Gleditsia triacanthos",7575,"GREENLY DR"
8739,"0","0","3","None","Prunus cerasifera/blireiana",7517,"VALENTINE ST"
8740,"3","4","0","Low","Pyrus kawakami",2740,"73RD AV"
8741,"2","2","0","Low","Fraxinus o. `Raywood'",8930,"MACARTHUR BL"
8742,"3","3","0","Low","Pyrus kawakami",2914,"76TH AV"
8743,"0","0","4","None","Eucalyptus pulverulenta",3417,"OAK KNOLL BL"
8744,"0","0","10","None","Acacia baileyana",3417,"OAK KNOLL BL"
8745,"0","0","4","None","Eucalyptus sp",3417,"OAK KNOLL BL"
8746,"0","0","4","None","Liquidambar styraciflua",2549,"78TH AV"
8747,"0","0","4","None","Albizia julibrissin",2365,"88TH AV"
8748,"1","1","0","None","Robinia hybrid",7607,"STERLING DR"
8749,"1","1","0","None","Acer palmatum",7607,"STERLING DR"
8750,"0","0","3","None","Prunus cerasifera/blireiana",7576,"STERLING DR"
8751,"0","0","4","None","Liquidambar styraciflua",2543,"74TH AV"
8752,"0","0","3","None","Prunus cerasifera/blireiana",7621,"VALENTINE ST"
8753,"0","0","0","None","Prunus cerasifera/blireiana",7600,"VALENTINE ST"
8754,"2","3","0","High","Fraxinus o. `Raywood'",8600,"MACARTHUR BL"
8755,"0","0","4","None","Ginkgo biloba",3433,"MIRASOL AV"
8756,"0","0","3","None","Pittosporum undulatum",8121,"NEY AV"
8757,"0","0","6","None","Liriodendron tulipifera",2700,"75TH AV"
8758,"3","6","0","Low","Koelreuteria sp",0,"98TH AV"
8759,"0","0","4","None","Crataegus phaenopyrum",3442,"MARGARITA AV"
8760,"3","3","0","None","Lagerstroemia indica",7538,"CIRCLE HILL DR"
8761,"0","0","5","None","Pyrus kawakami",2681,"79TH AV"
8762,"0","0","4","None","Crataegus phaenopyrum",9416,"GRANADA AV"
8763,"5","6","0","Low","Cinnamomum camphora",9343,"GRANADA AV"
8764,"3","4","0","High","Crataegus sp",3768,"HARRISON ST"
8765,"3","4","0","High","Crataegus sp",3768,"HARRISON ST"
8766,"5","8","0","Low","Ulmus americana",811,"YORK ST"
8767,"4.5","4.5","0","Moderate","Prunus cerasifera/blireiana",811,"YORK ST"
8768,"0","0","3","None","Unknown",608,"BOULEVARD WY"
8769,"0","0","2","None","Liquidambar styraciflua",49,"MOSS AV"
8770,"2","2","0","Low","Podocarpus gracilior",195,"SANTA CLARA AV"
8771,"3","3","0","None","Pyrus kawakami",3850,"GRAND AV"
8772,"0","0","4","None","Fraxinus o. `Raywood'",719,"WALAVISTA AV"
8773,"0","0","4","None","Liquidambar styraciflua",550,"FAIRMOUNT AV"
8774,"0","0","4","None","Liquidambar styraciflua",500,"VERNON ST"
8775,"0","0","4","None","Liquidambar styraciflua",500,"VERNON ST"
8776,"3","3","0","None","Quercus sp",525,"MANDANA BL"
8777,"0","0","4","None","Cinnamomum camphora",3751,"HARRISON ST"
8778,"0","0","4","None","Cinnamomum camphora",975,"VERMONT ST"
8779,"0","0","6","None","Quercus sp",740,"MANDANA BL"
8780,"3","3","0","Low","Crataegus phaenopyrum",401,"MONTE VISTA AV"
8781,"2","4","0","Low","Acer sp",420,"ELWOOD AV"
8782,"0","0","3","None","Acer sp",595,"MIRA VISTA AV"
8783,"0","0","3.50","None","Lagerstroemia indica",3525,"LAKE SHORE AV"
8784,"0","0","4","None","Lagerstroemia indica",753,"WALKER AV"
8785,"0","0","10","None","Unknown",920,"WAWONA AV"
8786,"0","0","3","None","Shrub",1100,"MANDANA BL"
8787,"0","0","4","None","Liquidambar styraciflua",0,"CHETWOOD ST"
8788,"3","3","0","High","Liquidambar styraciflua",645,"CHETWOOD ST"
8789,"4","10","0","None","Liquidambar styraciflua",3265,"LAKE SHORE AV"
8790,"0","0","3","None","Gleditsia triacanthos",727,"ARIMO AV"
8791,"0","0","6","None","Robinia pseudoacacia",668,"SANTA RAY AV"
8792,"3","6","0","Moderate","Pistacia chinensis",3801,"HARRISON ST"
8793,"0","0","6","None","Platanus acerifolia",3788,"LAKE SHORE AV"
8794,"0","0","2","None","Magnolia grandiflora",631,"VERNON ST"
8795,"4","6","0","None","Liquidambar styraciflua",500,"LAKE PARK AV"
8796,"0","0","6","None","Pyrus kawakami",628,"SANTA RAY AV"
8797,"0","0","3.50","None","Pyrus calleryana cvs",865,"WALKER AV"
8798,"0","0","4","None","Acer rubrum",491,"CRESCENT ST"
8799,"0","0","4","None","Unknown",0,"None"
8800,"0","0","3","None","Liquidambar styraciflua",605,"BOULEVARD WY"
8801,"2","2","0","Low","Pyrus kawakami",3325,"GRAND AV"
8802,"0","0","3","None","Grevillea robusta",1060,"WALKER AV"
8803,"0","0","4","None","Prunus cerasifera/blireiana",486,"CHENEY AV"
8804,"2","4","0","Moderate","Unknown",238,"LA SALLE AV"
8805,"0","0","8","None","Acer palmatum",620,"SANTA RAY AV"
8806,"0","0","3.5","None","Prunus cerasifera/blireiana",887,"WALKER AV"
8807,"3","3","0","Moderate","Pyrus kawakami",3530,"GRAND AV"
8808,"0","0","3","None","Acer sp",630,"VERNON ST"
8809,"0","0","2","None","Platanus acerifolia",889,"ROSEMOUNT RD"
8810,"0","0","4","None","Robinia pseudoacacia",3617,"BALFOUR AV"
8811,"0","0","3","None","Crataegus sp",646,"WALAVISTA AV"
8812,"0","0","2","None","Platanus acerifolia",865,"ROSEMOUNT RD"
8813,"0","0","10","None","Unknown",940,"WAWONA AV"
8814,"0","0","4","None","Other",4125,"BALFOUR AV"
8815,"2","2","0","None","Pistacia chinensis",688,"RAND AV"
8816,"2","2","0","Moderate","Prunus cerasifera/blireiana",819,"WARFIELD AV"
8817,"3","4","0","Moderate","Liquidambar styraciflua",748,"OAKLAND AV"
8818,"0","0","4","None","Acer palmatum",3917,"BALFOUR AV"
8819,"0","0","3.5","None","Cordyline australis",493,"WELDON AV"
8820,"0","0","2","None","Lagerstroemia indica",695,"ARIMO AV"
8821,"0","0","6","None","Quercus sp",630,"MANDANA BL"
8822,"0","0","5","None","Platanus acerifolia",769,"LONGRIDGE RD"
8823,"0","0","5","None","Platanus acerifolia",3766,"LAKE SHORE AV"
8824,"0","0","6","None","Quercus sp",668,"MANDANA BL"
8825,"0","0","4","None","Acer sp",66,"MACARTHUR BL"
8826,"5","4","0","Moderate","Platanus acerifolia",737,"ROSAL AV"
8827,"0","0","3","None","Unknown",0,"None"
8828,"0","0","3","None","Quercus sp",1180,"ASHMOUNT AV"
8829,"0","0","3.50","None","Lagerstroemia indica",0,"LAKE SHORE AV"
8830,"0","0","5.50","None","Platanus acerifolia",0,"LAKE SHORE AV"
8831,"0","0","2","None","Cercis sp",515,"WELDON AV"
8832,"0","0","6","None","Quercus sp",780,"MANDANA BL"
8833,"0","0","3","None","Pistacia chinensis",804,"WALAVISTA AV"
8834,"0","0","3","None","Acer sp",475,"CROFTON AV"
8835,"0","0","4","None","Acer sp",770,"KINGSTON AV"
8836,"0","0","6","None","Robinia pseudoacacia",732,"SANTA RAY AV"
8837,"0","0","3.5","None","Prunus cerasifera/blireiana",881,"WALKER AV"
8838,"4","4","0","Low","Pyrus kawakami",3615,"GRAND AV"
8839,"0","0","3","None","Acer sp",559,"WALAVISTA AV"
8840,"0","0","3","None","Pyrus calleryana cvs",4233,"BALFOUR AV"
8841,"0","0","4","None","Liquidambar styraciflua",486,"JEAN ST"
8842,"3","3","0","None","Unknown",0,"None"
8843,"0","0","5","None","Unknown",1049,"WINSOR AV"
8844,"0","0","6","None","Dead",810,"WALKER AV"
8845,"0","0","3.50","None","Acacia melanoxylon",810,"WALKER AV"
8846,"0","0","0","None","Prunus serrulata",826,"MANDANA BL"
8847,"0","0","10","None","Unknown",934,"WAWONA AV"
8848,"0","0","3","None","Podocarpus gracilior",3798,"HARRISON ST"
8849,"0","0","5","None","Platanus acerifolia",3558,"LAKE SHORE AV"
8850,"0","0","3","None","Prunus serrulata",740,"CALMAR AV"
8851,"0","0","3","None","Cercis sp",1015,"WARFIELD AV"
8852,"0","0","3","None","Quercus sp",535,"MANDANA BL"
8853,"3","3","0","None","Jacaranda acutifolia",520,"CHETWOOD ST"
8854,"0","0","3","None","Shrub",4233,"BALFOUR AV"
8855,"0","0","3","None","Liquidambar styraciflua",1030,"WARFIELD AV"
8856,"0","0","3","None","Acer sp",530,"VALLE VISTA AV"
8857,"0","0","2","None","Jacaranda acutifolia",557,"ROSAL AV"
8858,"0","0","3","None","Liquidambar styraciflua",4273,"LAKE SHORE AV"
8859,"0","0","4","None","Eucalyptus sideroxylon Rosea",121,"MOSS AV"
8860,"0","0","4","None","Quercus agrifolia",4243,"BALFOUR AV"
8861,"0","0","10","None","Unknown",904,"WAWONA AV"
8862,"0","0","3","None","Albizia julibrissin",425,"ELWOOD AV"
8863,"0","0","6","None","Shrub",631,"VIONA AV"
8864,"0","0","2","None","Acer sp",584,"MIRA VISTA AV"
8865,"0","0","2","None","Platanus acerifolia",658,"BROOKWOOD PL"
8866,"0","0","3.50","None","Prunus cerasifera/blireiana",888,"VERMONT ST"
8867,"3","3","0","Low","Maytenus boaria",323,"MONTE VISTA AV"
8868,"3","3","0","None","Unknown",0,"None"
8869,"0","0","3","None","Unknown",0,"None"
8870,"0","0","3","None","Unknown",0,"None"
8871,"0","0","4","None","Pyrus calleryana cvs",587,"MIRA VISTA AV"
8872,"0","0","3","None","Liquidambar styraciflua",500,"VERNON ST"
8873,"3","3","0","Low","Prunus sp",545,"FAIRBANKS AV"
8874,"5","5","0","None","Magnolia grandiflora",1040,"MANDANA BL"
8875,"3","3","0","Moderate","Liquidambar styraciflua",325,"ALTA VISTA AV"
8876,"6","3","0","High","Acer sp",678,"ROSAL AV"
8877,"0","0","6","None","Alnus rhombifolia",498,"JEAN ST"
8878,"0","0","3","None","Cercis sp",688,"RAND AV"
8879,"0","0","2","None","Agave sp",565,"ROSAL AV"
8880,"0","0","3","None","Shrub",490,"FAIRBANKS AV"
8881,"0","0","0","None","Jacaranda acutifolia",680,"CALMAR AV"
8882,"0","0","0","None","Prunus sp",576,"VALLE VISTA AV"
8883,"0","0","2","None","Platanus acerifolia",881,"ROSEMOUNT RD"
8884,"0","0","3","None","Liquidambar styraciflua",662,"ARIMO AV"
8885,"0","0","3","None","Lagerstroemia indica",691,"ARIMO AV"
8886,"3","9","0","Low","Pyrus calleryana cvs",581,"KENMORE AV"
8887,"0","0","4","None","Platanus acerifolia",777,"KINGSTON AV"
8888,"0","0","2","None","Quercus sp",0,"TRESTLE GLEN RD"
8889,"3","3","0","None","Liquidambar styraciflua",0,"None"
8890,"0","0","2.5","None","Liquidambar styraciflua",536,"PRINCE ST"
8891,"0","0","3","None","Acer sp",301,"ALTA VISTA AV"
8892,"4","6","0","None","Lophostemon confertus",3417,"LAKE SHORE AV"
8893,"2","2","0","Moderate","Agonis flexuosa",714,"JEAN ST"
8894,"0","0","2.5","None","Cercis sp",993,"SCOTT ST"
8895,"2","6","0","Low","Acer sp",420,"ELWOOD AV"
8896,"0","0","3","None","Jacaranda acutifolia",1108,"MANDANA BL"
8897,"0","0","3","None","Platanus acerifolia",1124,"MANDANA BL"
8898,"0","0","3","None","Acer sp",249,"SANTA ROSA AV"
8899,"0","0","5","None","Platanus acerifolia",3734,"LAKE SHORE AV"
8900,"0","0","4","None","Cercis sp",1012,"ASHMOUNT AV"
8901,"0","0","3","None","Unknown",0,"None"
8902,"2","3","0","None","Lophostemon confertus",3340,"LAKE SHORE AV"
8903,"0","0","10","None","Unknown",852,"WAWONA AV"
8904,"0","0","4","None","Quercus agrifolia",808,"WALAVISTA AV"
8905,"0","0","2","None","Unknown",222,"LA SALLE AV"
8906,"0","0","6","None","Shrub",680,"SANTA RAY AV"
8907,"0","0","2","None","Liquidambar styraciflua",176,"SANTA ROSA AV"
8908,"5","9","0","None","Platanus acerifolia",3700,"GRAND AV"
8909,"0","0","2","None","Gleditsia triacanthos",625,"VERNON ST"
8910,"3","3","0","None","Pyrus kawakami",3232,"GRAND AV"
8911,"0","0","6","None","Prunus cerasifera/blireiana",724,"MANDANA BL"
8912,"0","0","3","None","Pistacia chinensis",3851,"LAKE SHORE AV"
8913,"0","0","3","None","Pistacia chinensis",800,"WALAVISTA AV"
8914,"3","3","0","None","Pyrus calleryana cvs",0,"WALKER AV"
8915,"3","3","0","None","Acer palmatum",3900,"LAKE SHORE AV"
8916,"0","0","2","None","Acacia sp",501,"MANDANA BL"
8917,"2","2","0","None","Prunus cerasifera/blireiana",3552,"LAKE SHORE AV"
8918,"0","0","3","None","Prunus cerasifera/blireiana",724,"CALMAR AV"
8919,"0","0","3","None","Unknown",0,"None"
8920,"0","0","1","None","Prunus sp",1180,"ASHMOUNT AV"
8921,"0","0","5.50","None","Platanus acerifolia",0,"LAKE SHORE AV"
8922,"0","0","3.50","None","Lagerstroemia indica",0,"LAKE SHORE AV"
8923,"3","3","0","None","Nyssa sylvatica",1041,"WARFIELD AV"
8924,"0","0","3","None","Unknown",808,"PORTAL AV"
8925,"0","0","6","None","Pistacia chinensis",476,"CRESCENT ST"
8926,"0","0","3","None","Acer sp",724,"ROSAL AV"
8927,"0","0","3","None","Other",724,"ROSAL AV"
8928,"0","0","3","None","Prunus serrulata",704,"CALMAR AV"
8929,"0","0","3.50","None","Shrub",496,"MANDANA BL"
8930,"0","0","3.5","None","Jacaranda acutifolia",496,"MANDANA BL"
8931,"0","0","3","None","Prunus cerasifera/blireiana",655,"BOULEVARD WY"
8932,"0","0","6","None","Acer sp",648,"SANTA RAY AV"
8933,"0","0","3","None","Pyrus calleryana cvs",4225,"BALFOUR AV"
8934,"3","3","0","Low","Pyrus kawakami",3600,"GRAND AV"
8935,"0","0","3","None","Prunus cerasifera/blireiana",538,"FAIRBANKS AV"
8936,"0","0","5","None","Unknown",1033,"WINSOR AV"
8937,"2","5","0","Moderate","Dead",526,"ROSAL AV"
8938,"0","0","3","None","Aesculus carnea",1132,"MANDANA BL"
8939,"0","0","2","None","Unknown",212,"LA SALLE AV"
8940,"0","0","3","None","Liquidambar styraciflua",3801,"LAKE SHORE AV"
8941,"3","3","0","None","Tristaniopsis laurina",3209,"LAKE SHORE AV"
8942,"4","8","0","None","Acer sp",555,"JEAN ST"
8943,"0","0","3","None","Crataegus phaenopyrum",512,"WICKSON AV"
8944,"0","0","4","None","Liquidambar styraciflua",695,"MARIPOSA AV"
8945,"0","0","4","None","Liquidambar styraciflua",500,"VERNON ST"
8946,"0","0","3","None","Acer palmatum",1441,"EAST 38TH ST"
8947,"0","0","3","None","Liquidambar styraciflua",53,"MOSS AV"
8948,"0","0","4","None","Lagerstroemia indica",646,"VERNON ST"
8949,"0","0","8","None","Liquidambar styraciflua",4048,"LAKE SHORE AV"
8950,"0","0","3","None","Tilia sp",3700,"HIGH ST"
8951,"0","0","6","None","Lagerstroemia indica",1024,"SUNNYHILLS RD"
8952,"0","0","3","None","Acer macrophyllum",3901,"LAKE SHORE AV"
8953,"0","0","6","None","Quercus sp",706,"MANDANA BL"
8954,"0","0","6","None","Quercus sp",754,"MANDANA BL"
8955,"0","0","6","None","Quercus sp",668,"MANDANA BL"
8956,"0","0","6","None","Acer sp",472,"JEAN ST"
8957,"0","0","3","None","Lagerstroemia indica",690,"ARIMO AV"
8958,"0","0","4","None","Unknown",0,"None"
8959,"0","0","3","None","Unknown",0,"None"
8960,"3","5","0","High","Salix babylonica",1001,"WALKER AV"
8961,"5","9","0","None","Platanus acerifolia",3838,"GRAND AV"
8962,"0","0","3","None","Jacaranda acutifolia",1108,"MANDANA BL"
8963,"0","0","2","None","Platanus acerifolia",858,"ROSEMOUNT RD"
8964,"0","0","2","None","Platanus acerifolia",858,"ROSEMOUNT RD"
8965,"0","0","2","None","Pyrus calleryana cvs",1449,"TRESTLE GLEN RD"
8966,"0","0","3","None","Pittosporum undulatum",733,"RAND AV"
8967,"0","0","2","None","Lagerstroemia indica",1212,"HOLMAN RD"
8968,"2","7","0","Low","Acer sp",3801,"BALFOUR AV"
8969,"0","0","2","None","Platanus acerifolia",788,"ROSEMOUNT RD"
8970,"0","0","3","None","Pyrus kawakami",3922,"HARRISON ST"
8971,"0","0","3","None","Acer sp",551,"WALAVISTA AV"
8972,"0","0","3","None","Liquidambar styraciflua",553,"CROFTON AV"
8973,"0","0","3","None","Other",700,"CALMAR AV"
8974,"4","6","0","None","Liquidambar styraciflua",3250,"LAKE SHORE AV"
8975,"0","0","2","None","Unknown",0,"None"
8976,"0","0","5","None","Quercus agrifolia",975,"SUNNYHILLS RD"
8977,"0","0","3","None","Trachycarpus fortunei",712,"CALMAR AV"
8978,"0","0","7.5","None","Quercus sp",4043,"LAKE SHORE AV"
8979,"5","8","0","Low","Pyrus kawakami",3612,"GRAND AV"
8980,"0","0","6","None","Platanus acerifolia",1120,"HUBERT RD"
8981,"0","0","3","None","Liquidambar styraciflua",572,"OAKLAND AV"
8982,"0","0","3","None","Unknown",1050,"WARFIELD AV"
